,0,1,2,3,4,5,6,7,8,9,energy,is_feasible,is_satisfied,num_occurrences
0,0,0,0,0,0,0,0,0,0,0,0.0,True,True,1
1,0,1,0,0,0,0,0,0,0,0,-1.0,True,True,1
2,1,0,0,0,0,0,0,0,0,0,-1.0,True,True,1
3,1,1,0,0,0,0,0,0,0,0,-2.0,True,True,1
4,0,0,1,0,0,0,0,0,0,0,-1.0,True,True,1
5,0,1,1,0,0,0,0,0,0,0,-2.0,True,True,1
6,1,0,1,0,0,0,0,0,0,0,-2.0,False,False,1
7,1,1,1,0,0,0,0,0,0,0,-3.0,False,False,1
8,0,0,0,1,0,0,0,0,0,0,-1.0,True,True,1
9,0,1,0,1,0,0,0,0,0,0,-2.0,True,True,1
10,1,0,0,1,0,0,0,0,0,0,-2.0,True,True,1
11,1,1,0,1,0,0,0,0,0,0,-3.0,True,True,1
12,0,0,1,1,0,0,0,0,0,0,-2.0,True,True,1
13,0,1,1,1,0,0,0,0,0,0,-3.0,True,True,1
14,1,0,1,1,0,0,0,0,0,0,-3.0,False,False,1
15,1,1,1,1,0,0,0,0,0,0,-4.0,False,False,1
16,0,0,0,0,1,0,0,0,0,0,-1.0,True,True,1
17,0,1,0,0,1,0,0,0,0,0,-2.0,True,True,1
18,1,0,0,0,1,0,0,0,0,0,-2.0,True,True,1
19,1,1,0,0,1,0,0,0,0,0,-3.0,True,True,1
20,0,0,1,0,1,0,0,0,0,0,-2.0,False,False,1
21,0,1,1,0,1,0,0,0,0,0,-3.0,False,False,1
22,1,0,1,0,1,0,0,0,0,0,-3.0,False,False,1
23,1,1,1,0,1,0,0,0,0,0,-4.0,False,False,1
24,0,0,0,1,1,0,0,0,0,0,-2.0,True,True,1
25,0,1,0,1,1,0,0,0,0,0,-3.0,True,True,1
26,1,0,0,1,1,0,0,0,0,0,-3.0,True,True,1
27,1,1,0,1,1,0,0,0,0,0,-4.0,True,True,1
28,0,0,1,1,1,0,0,0,0,0,-3.0,False,False,1
29,0,1,1,1,1,0,0,0,0,0,-4.0,False,False,1
30,1,0,1,1,1,0,0,0,0,0,-4.0,False,False,1
31,1,1,1,1,1,0,0,0,0,0,-5.0,False,False,1
32,0,0,0,0,0,1,0,0,0,0,-1.0,True,True,1
33,0,1,0,0,0,1,0,0,0,0,-2.0,False,False,1
34,1,0,0,0,0,1,0,0,0,0,-2.0,True,True,1
35,1,1,0,0,0,1,0,0,0,0,-3.0,False,False,1
36,0,0,1,0,0,1,0,0,0,0,-2.0,False,False,1
37,0,1,1,0,0,1,0,0,0,0,-3.0,False,False,1
38,1,0,1,0,0,1,0,0,0,0,-3.0,False,False,1
39,1,1,1,0,0,1,0,0,0,0,-4.0,False,False,1
40,0,0,0,1,0,1,0,0,0,0,-2.0,True,True,1
41,0,1,0,1,0,1,0,0,0,0,-3.0,False,False,1
42,1,0,0,1,0,1,0,0,0,0,-3.0,True,True,1
43,1,1,0,1,0,1,0,0,0,0,-4.0,False,False,1
44,0,0,1,1,0,1,0,0,0,0,-3.0,False,False,1
45,0,1,1,1,0,1,0,0,0,0,-4.0,False,False,1
46,1,0,1,1,0,1,0,0,0,0,-4.0,False,False,1
47,1,1,1,1,0,1,0,0,0,0,-5.0,False,False,1
48,0,0,0,0,1,1,0,0,0,0,-2.0,True,True,1
49,0,1,0,0,1,1,0,0,0,0,-3.0,False,False,1
50,1,0,0,0,1,1,0,0,0,0,-3.0,True,True,1
51,1,1,0,0,1,1,0,0,0,0,-4.0,False,False,1
52,0,0,1,0,1,1,0,0,0,0,-3.0,False,False,1
53,0,1,1,0,1,1,0,0,0,0,-4.0,False,False,1
54,1,0,1,0,1,1,0,0,0,0,-4.0,False,False,1
55,1,1,1,0,1,1,0,0,0,0,-5.0,False,False,1
56,0,0,0,1,1,1,0,0,0,0,-3.0,True,True,1
57,0,1,0,1,1,1,0,0,0,0,-4.0,False,False,1
58,1,0,0,1,1,1,0,0,0,0,-4.0,True,True,1
59,1,1,0,1,1,1,0,0,0,0,-5.0,False,False,1
60,0,0,1,1,1,1,0,0,0,0,-4.0,False,False,1
61,0,1,1,1,1,1,0,0,0,0,-5.0,False,False,1
62,1,0,1,1,1,1,0,0,0,0,-5.0,False,False,1
63,1,1,1,1,1,1,0,0,0,0,-6.0,False,False,1
64,0,0,0,0,0,0,1,0,0,0,-1.0,True,True,1
65,0,1,0,0,0,0,1,0,0,0,-2.0,False,False,1
66,1,0,0,0,0,0,1,0,0,0,-2.0,True,True,1
67,1,1,0,0,0,0,1,0,0,0,-3.0,False,False,1
68,0,0,1,0,0,0,1,0,0,0,-2.0,True,True,1
69,0,1,1,0,0,0,1,0,0,0,-3.0,False,False,1
70,1,0,1,0,0,0,1,0,0,0,-3.0,False,False,1
71,1,1,1,0,0,0,1,0,0,0,-4.0,False,False,1
72,0,0,0,1,0,0,1,0,0,0,-2.0,True,True,1
73,0,1,0,1,0,0,1,0,0,0,-3.0,False,False,1
74,1,0,0,1,0,0,1,0,0,0,-3.0,True,True,1
75,1,1,0,1,0,0,1,0,0,0,-4.0,False,False,1
76,0,0,1,1,0,0,1,0,0,0,-3.0,True,True,1
77,0,1,1,1,0,0,1,0,0,0,-4.0,False,False,1
78,1,0,1,1,0,0,1,0,0,0,-4.0,False,False,1
79,1,1,1,1,0,0,1,0,0,0,-5.0,False,False,1
80,0,0,0,0,1,0,1,0,0,0,-2.0,True,True,1
81,0,1,0,0,1,0,1,0,0,0,-3.0,False,False,1
82,1,0,0,0,1,0,1,0,0,0,-3.0,True,True,1
83,1,1,0,0,1,0,1,0,0,0,-4.0,False,False,1
84,0,0,1,0,1,0,1,0,0,0,-3.0,False,False,1
85,0,1,1,0,1,0,1,0,0,0,-4.0,False,False,1
86,1,0,1,0,1,0,1,0,0,0,-4.0,False,False,1
87,1,1,1,0,1,0,1,0,0,0,-5.0,False,False,1
88,0,0,0,1,1,0,1,0,0,0,-3.0,True,True,1
89,0,1,0,1,1,0,1,0,0,0,-4.0,False,False,1
90,1,0,0,1,1,0,1,0,0,0,-4.0,True,True,1
91,1,1,0,1,1,0,1,0,0,0,-5.0,False,False,1
92,0,0,1,1,1,0,1,0,0,0,-4.0,False,False,1
93,0,1,1,1,1,0,1,0,0,0,-5.0,False,False,1
94,1,0,1,1,1,0,1,0,0,0,-5.0,False,False,1
95,1,1,1,1,1,0,1,0,0,0,-6.0,False,False,1
96,0,0,0,0,0,1,1,0,0,0,-2.0,True,True,1
97,0,1,0,0,0,1,1,0,0,0,-3.0,False,False,1
98,1,0,0,0,0,1,1,0,0,0,-3.0,True,True,1
99,1,1,0,0,0,1,1,0,0,0,-4.0,False,False,1
100,0,0,1,0,0,1,1,0,0,0,-3.0,False,False,1
101,0,1,1,0,0,1,1,0,0,0,-4.0,False,False,1
102,1,0,1,0,0,1,1,0,0,0,-4.0,False,False,1
103,1,1,1,0,0,1,1,0,0,0,-5.0,False,False,1
104,0,0,0,1,0,1,1,0,0,0,-3.0,True,True,1
105,0,1,0,1,0,1,1,0,0,0,-4.0,False,False,1
106,1,0,0,1,0,1,1,0,0,0,-4.0,True,True,1
107,1,1,0,1,0,1,1,0,0,0,-5.0,False,False,1
108,0,0,1,1,0,1,1,0,0,0,-4.0,False,False,1
109,0,1,1,1,0,1,1,0,0,0,-5.0,False,False,1
110,1,0,1,1,0,1,1,0,0,0,-5.0,False,False,1
111,1,1,1,1,0,1,1,0,0,0,-6.0,False,False,1
112,0,0,0,0,1,1,1,0,0,0,-3.0,True,True,1
113,0,1,0,0,1,1,1,0,0,0,-4.0,False,False,1
114,1,0,0,0,1,1,1,0,0,0,-4.0,True,True,1
115,1,1,0,0,1,1,1,0,0,0,-5.0,False,False,1
116,0,0,1,0,1,1,1,0,0,0,-4.0,False,False,1
117,0,1,1,0,1,1,1,0,0,0,-5.0,False,False,1
118,1,0,1,0,1,1,1,0,0,0,-5.0,False,False,1
119,1,1,1,0,1,1,1,0,0,0,-6.0,False,False,1
120,0,0,0,1,1,1,1,0,0,0,-4.0,True,True,1
121,0,1,0,1,1,1,1,0,0,0,-5.0,False,False,1
122,1,0,0,1,1,1,1,0,0,0,-5.0,True,True,1
123,1,1,0,1,1,1,1,0,0,0,-6.0,False,False,1
124,0,0,1,1,1,1,1,0,0,0,-5.0,False,False,1
125,0,1,1,1,1,1,1,0,0,0,-6.0,False,False,1
126,1,0,1,1,1,1,1,0,0,0,-6.0,False,False,1
127,1,1,1,1,1,1,1,0,0,0,-7.0,False,False,1
128,0,0,0,0,0,0,0,1,0,0,-1.0,True,True,1
129,0,1,0,0,0,0,0,1,0,0,-2.0,False,False,1
130,1,0,0,0,0,0,0,1,0,0,-2.0,True,True,1
131,1,1,0,0,0,0,0,1,0,0,-3.0,False,False,1
132,0,0,1,0,0,0,0,1,0,0,-2.0,False,False,1
133,0,1,1,0,0,0,0,1,0,0,-3.0,False,False,1
134,1,0,1,0,0,0,0,1,0,0,-3.0,False,False,1
135,1,1,1,0,0,0,0,1,0,0,-4.0,False,False,1
136,0,0,0,1,0,0,0,1,0,0,-2.0,True,True,1
137,0,1,0,1,0,0,0,1,0,0,-3.0,False,False,1
138,1,0,0,1,0,0,0,1,0,0,-3.0,True,True,1
139,1,1,0,1,0,0,0,1,0,0,-4.0,False,False,1
140,0,0,1,1,0,0,0,1,0,0,-3.0,False,False,1
141,0,1,1,1,0,0,0,1,0,0,-4.0,False,False,1
142,1,0,1,1,0,0,0,1,0,0,-4.0,False,False,1
143,1,1,1,1,0,0,0,1,0,0,-5.0,False,False,1
144,0,0,0,0,1,0,0,1,0,0,-2.0,True,True,1
145,0,1,0,0,1,0,0,1,0,0,-3.0,False,False,1
146,1,0,0,0,1,0,0,1,0,0,-3.0,True,True,1
147,1,1,0,0,1,0,0,1,0,0,-4.0,False,False,1
148,0,0,1,0,1,0,0,1,0,0,-3.0,False,False,1
149,0,1,1,0,1,0,0,1,0,0,-4.0,False,False,1
150,1,0,1,0,1,0,0,1,0,0,-4.0,False,False,1
151,1,1,1,0,1,0,0,1,0,0,-5.0,False,False,1
152,0,0,0,1,1,0,0,1,0,0,-3.0,True,True,1
153,0,1,0,1,1,0,0,1,0,0,-4.0,False,False,1
154,1,0,0,1,1,0,0,1,0,0,-4.0,True,True,1
155,1,1,0,1,1,0,0,1,0,0,-5.0,False,False,1
156,0,0,1,1,1,0,0,1,0,0,-4.0,False,False,1
157,0,1,1,1,1,0,0,1,0,0,-5.0,False,False,1
158,1,0,1,1,1,0,0,1,0,0,-5.0,False,False,1
159,1,1,1,1,1,0,0,1,0,0,-6.0,False,False,1
160,0,0,0,0,0,1,0,1,0,0,-2.0,True,True,1
161,0,1,0,0,0,1,0,1,0,0,-3.0,False,False,1
162,1,0,0,0,0,1,0,1,0,0,-3.0,True,True,1
163,1,1,0,0,0,1,0,1,0,0,-4.0,False,False,1
164,0,0,1,0,0,1,0,1,0,0,-3.0,False,False,1
165,0,1,1,0,0,1,0,1,0,0,-4.0,False,False,1
166,1,0,1,0,0,1,0,1,0,0,-4.0,False,False,1
167,1,1,1,0,0,1,0,1,0,0,-5.0,False,False,1
168,0,0,0,1,0,1,0,1,0,0,-3.0,True,True,1
169,0,1,0,1,0,1,0,1,0,0,-4.0,False,False,1
170,1,0,0,1,0,1,0,1,0,0,-4.0,True,True,1
171,1,1,0,1,0,1,0,1,0,0,-5.0,False,False,1
172,0,0,1,1,0,1,0,1,0,0,-4.0,False,False,1
173,0,1,1,1,0,1,0,1,0,0,-5.0,False,False,1
174,1,0,1,1,0,1,0,1,0,0,-5.0,False,False,1
175,1,1,1,1,0,1,0,1,0,0,-6.0,False,False,1
176,0,0,0,0,1,1,0,1,0,0,-3.0,True,True,1
177,0,1,0,0,1,1,0,1,0,0,-4.0,False,False,1
178,1,0,0,0,1,1,0,1,0,0,-4.0,True,True,1
179,1,1,0,0,1,1,0,1,0,0,-5.0,False,False,1
180,0,0,1,0,1,1,0,1,0,0,-4.0,False,False,1
181,0,1,1,0,1,1,0,1,0,0,-5.0,False,False,1
182,1,0,1,0,1,1,0,1,0,0,-5.0,False,False,1
183,1,1,1,0,1,1,0,1,0,0,-6.0,False,False,1
184,0,0,0,1,1,1,0,1,0,0,-4.0,True,True,1
185,0,1,0,1,1,1,0,1,0,0,-5.0,False,False,1
186,1,0,0,1,1,1,0,1,0,0,-5.0,True,True,1
187,1,1,0,1,1,1,0,1,0,0,-6.0,False,False,1
188,0,0,1,1,1,1,0,1,0,0,-5.0,False,False,1
189,0,1,1,1,1,1,0,1,0,0,-6.0,False,False,1
190,1,0,1,1,1,1,0,1,0,0,-6.0,False,False,1
191,1,1,1,1,1,1,0,1,0,0,-7.0,False,False,1
192,0,0,0,0,0,0,1,1,0,0,-2.0,True,True,1
193,0,1,0,0,0,0,1,1,0,0,-3.0,False,False,1
194,1,0,0,0,0,0,1,1,0,0,-3.0,True,True,1
195,1,1,0,0,0,0,1,1,0,0,-4.0,False,False,1
196,0,0,1,0,0,0,1,1,0,0,-3.0,False,False,1
197,0,1,1,0,0,0,1,1,0,0,-4.0,False,False,1
198,1,0,1,0,0,0,1,1,0,0,-4.0,False,False,1
199,1,1,1,0,0,0,1,1,0,0,-5.0,False,False,1
200,0,0,0,1,0,0,1,1,0,0,-3.0,True,True,1
201,0,1,0,1,0,0,1,1,0,0,-4.0,False,False,1
202,1,0,0,1,0,0,1,1,0,0,-4.0,True,True,1
203,1,1,0,1,0,0,1,1,0,0,-5.0,False,False,1
204,0,0,1,1,0,0,1,1,0,0,-4.0,False,False,1
205,0,1,1,1,0,0,1,1,0,0,-5.0,False,False,1
206,1,0,1,1,0,0,1,1,0,0,-5.0,False,False,1
207,1,1,1,1,0,0,1,1,0,0,-6.0,False,False,1
208,0,0,0,0,1,0,1,1,0,0,-3.0,True,True,1
209,0,1,0,0,1,0,1,1,0,0,-4.0,False,False,1
210,1,0,0,0,1,0,1,1,0,0,-4.0,True,True,1
211,1,1,0,0,1,0,1,1,0,0,-5.0,False,False,1
212,0,0,1,0,1,0,1,1,0,0,-4.0,False,False,1
213,0,1,1,0,1,0,1,1,0,0,-5.0,False,False,1
214,1,0,1,0,1,0,1,1,0,0,-5.0,False,False,1
215,1,1,1,0,1,0,1,1,0,0,-6.0,False,False,1
216,0,0,0,1,1,0,1,1,0,0,-4.0,True,True,1
217,0,1,0,1,1,0,1,1,0,0,-5.0,False,False,1
218,1,0,0,1,1,0,1,1,0,0,-5.0,True,True,1
219,1,1,0,1,1,0,1,1,0,0,-6.0,False,False,1
220,0,0,1,1,1,0,1,1,0,0,-5.0,False,False,1
221,0,1,1,1,1,0,1,1,0,0,-6.0,False,False,1
222,1,0,1,1,1,0,1,1,0,0,-6.0,False,False,1
